Time: 	 2.385043 
Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_6_1_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_4_2_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_1_4_2_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_1_4_2_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_3_6_5_1_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

Fitness = 2.190557	, Genes = 29_25_13_14_34_41_23_11_47_12_15_40_46_18_7_44_8_16_22_9_38_31_28_30_37_19_27_17_43_36_33_20_21_32_39_48_42_24_10_45_35_26_2_4_1_6_5_3_

